id,product_id,created_at,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_sku,product_distribution_center_id
50050,27102,2020-08-31 07:39:30,,31.41,Jeans,Advanced 6thgeneration artificial intelligence,Calvin Klein,78.95,Women,bU-11566311,10
50051,14847,2024-06-09 17:26:01,,19.93,Pants,Profound encompassing moratorium,Calvin Klein,53.25,Men,gj-55793938,4
50052,17627,2020-07-01 20:07:39,2021-01-17 20:07:39,21.73,Outerwear & Coats,Customer-focused executive matrix,MG,55.57,Women,fv-66964846,4
50053,24763,2022-09-09 07:39:11,,2.14,Sweaters,Assimilated bifurcated framework,Tommy Hilfiger,4.28,Women,rm-52971730,10
50054,27918,2023-01-15 19:03:30,2023-03-16 19:03:30,41.46,Accessories,Cross-platform zero administration architecture,Puma,103.49,Women,Oa-38750931,3
50055,18968,2023-05-28 07:33:06,,12.52,Tops,Universal bi-directional matrices,Adidas,44.4,Men,EC-35599717,2
50056,26837,2019-12-09 23:27:02,,33.16,Accessories,Customizable interactive implementation,Tommy Hilfiger,104.74,Men,mq-40162595,6
50057,12131,2021-02-26 17:33:32,,30.31,Jeans,Persevering reciprocal system engine,Adidas,113.51,Men,ju-72808937,10
50058,28286,2022-06-14 20:50:27,,3.0,Pants,Optimized bi-directional infrastructure,Nike,7.62,Men,tJ-89837501,9
50059,29479,2024-07-22 16:15:25,2024-12-15 16:15:25,31.23,Accessories,Versatile systematic analyzer,Calvin Klein,65.38,Women,SE-27036465,1
50060,10188,2021-05-21 23:21:39,2021-11-04 23:21:39,20.64,Outerwear & Coats,User-centric responsive toolset,MG,66.17,Women,tm-05272375,4
50061,16247,2024-06-01 01:06:09,2025-01-28 01:06:09,29.87,Sweaters,Integrated methodical matrices,Nike,83.0,Men,sI-80152607,5
50062,10563,2021-04-23 06:30:42,,41.96,Plus,Universal regional data-warehouse,Tommy Hilfiger,87.96,Men,CM-58839784,1
50063,21035,2019-09-03 16:42:22,2020-06-24 16:42:22,28.78,Pants,Universal systemic initiative,Puma,73.57,Women,bY-65914445,1
50064,22304,2020-05-11 02:42:49,2020-06-10 02:42:49,29.19,Tops,Triple-buffered dedicated capability,Calvin Klein,80.32,Women,qi-24891427,1
50065,20683,2024-05-26 03:17:14,,41.65,Accessories,Managed motivating open system,Calvin Klein,115.16,Women,jZ-15965458,8
50066,19479,2021-11-22 21:32:23,2022-05-23 21:32:23,34.84,Pants,Extended logistical standardization,Calvin Klein,83.32,Women,MS-20416893,2
50067,27210,2020-08-07 13:06:17,2021-03-18 13:06:17,19.88,Pants,Future-proofed bottom-line moderator,Adidas,49.94,Women,bz-50489006,5
50068,25146,2021-12-14 10:42:27,,6.19,Plus,Progressive tertiary methodology,Levi's,24.64,Women,nO-62408283,1
50069,25366,2024-07-24 00:33:18,,40.07,Pants,Assimilated systematic orchestration,Calvin Klein,150.12,Women,Ml-27338528,3
50070,11930,2024-01-28 19:41:59,2024-09-22 19:41:59,2.95,Sweaters,Proactive 4thgeneration circuit,Nike,6.03,Women,eZ-67218257,8
50071,23887,2021-02-27 15:01:02,2021-05-27 15:01:02,17.03,Outerwear & Coats,Pre-emptive discrete success,Calvin Klein,37.94,Women,IX-17536397,3
50072,24413,2021-04-18 03:16:26,2021-06-08 03:16:26,44.25,Sweaters,Right-sized 6thgeneration definition,MG,136.78,Men,kk-61843968,9
50073,18719,2023-10-27 23:58:38,2024-03-10 23:58:38,20.06,Tops,Profound solution-oriented core,Levi's,68.2,Women,EJ-36919571,1
50074,18321,2024-09-08 08:31:35,,47.2,Sweaters,Expanded 24/7 application,Adidas,151.82,Men,JM-30564415,6
50075,26284,2021-06-04 17:23:35,2021-11-25 17:23:35,13.57,Sweaters,Reduced systemic matrix,Adidas,41.93,Men,RR-48287583,10
50076,21562,2020-02-25 10:57:33,2020-09-13 10:57:33,4.12,Outerwear & Coats,Versatile bandwidth-monitored moratorium,Levi's,15.67,Women,Oj-39021573,2
50077,18671,2024-08-22 14:45:35,2025-06-19 14:45:35,47.89,Jeans,Adaptive national database,Adidas,184.94,Men,sE-61622879,5
50078,28725,2020-05-25 11:35:16,2021-04-23 11:35:16,37.43,Jeans,Cross-group asymmetric access,Nike,136.86,Men,ge-98204816,6
50079,18066,2020-02-19 06:48:31,2020-12-30 06:48:31,23.38,Sweaters,Optimized context-sensitive open architecture,Levi's,81.38,Women,WA-85701589,8
50080,23228,2021-11-01 02:06:50,2022-05-26 02:06:50,24.82,Pants,Re-contextualized intangible hardware,Nike,91.68,Men,Hc-26302669,3
50081,10462,2023-10-01 02:18:24,,12.79,Sweaters,Devolved secondary service-desk,Levi's,33.79,Men,Kb-73996662,1
50082,23250,2022-06-18 22:37:16,,18.01,Outerwear & Coats,Expanded logistical forecast,MG,39.71,Women,QZ-12839175,5
50083,22083,2021-04-08 03:42:44,,39.99,Tops,Extended web-enabled Graphical User Interface,Calvin Klein,98.68,Women,bg-08220473,6
50084,11396,2022-07-22 20:22:31,,31.57,Pants,Fundamental object-oriented service-desk,Calvin Klein,66.22,Women,Jn-07488241,10
50085,14556,2022-11-04 22:00:50,,23.52,Sweaters,Extended heuristic instruction set,Levi's,66.72,Women,rT-72071901,4
50086,29898,2021-11-25 22:51:07,,18.55,Tops,Upgradable even-keeled support,MG,40.25,Men,IR-27220895,3
50087,23653,2019-01-23 12:44:42,2019-10-09 12:44:42,4.3,Plus,Assimilated stable benchmark,Nike,15.42,Men,ii-51748986,2
50088,16223,2019-02-12 10:05:07,2019-06-26 10:05:07,46.95,Sweaters,Open-source national instruction set,Puma,180.33,Women,eX-73643894,2
50089,28049,2021-03-26 19:57:19,2021-07-08 19:57:19,32.66,Sweaters,Fully-configurable heuristic parallelism,Nike,107.36,Women,TW-82029016,1
50090,15441,2021-05-27 12:19:59,2022-05-13 12:19:59,11.92,Jeans,Customer-focused high-level architecture,Levi's,47.62,Men,RB-74772343,8
50091,20121,2021-05-11 01:16:56,2021-12-30 01:16:56,5.6,Sweaters,Operative executive intranet,Tommy Hilfiger,20.12,Women,wb-98465033,4
50092,13709,2020-08-06 09:53:36,,17.67,Jeans,Profit-focused zero-defect standardization,Tommy Hilfiger,53.26,Men,NZ-01527650,7
50093,15823,2021-05-11 00:01:54,,46.98,Outerwear & Coats,Fully-configurable 5thgeneration knowledgebase,Puma,125.86,Women,oi-58569396,9
50094,18475,2023-11-25 23:25:36,2024-03-26 23:25:36,12.65,Jeans,Enhanced optimizing process improvement,Calvin Klein,29.11,Men,np-19457634,3
50095,29232,2022-08-03 16:48:14,2023-02-06 16:48:14,47.61,Tops,Visionary modular architecture,Levi's,101.23,Men,oC-23630619,4
50096,16856,2023-04-17 00:49:18,,11.17,Plus,Synchronized upward-trending Local Area Network,Nike,24.49,Women,Pf-06198780,8
50097,10102,2022-04-17 16:26:50,2022-07-06 16:26:50,43.6,Accessories,Synergistic asymmetric installation,Levi's,148.31,Men,vy-69934105,6
50098,26035,2021-12-03 23:31:13,2022-11-13 23:31:13,5.29,Plus,Synergistic composite firmware,Levi's,18.55,Women,lO-27420784,3
50099,13402,2021-10-09 20:43:44,2022-01-15 20:43:44,48.17,Pants,Virtual logistical secured line,Nike,124.31,Women,CV-13756486,8
50100,28843,2023-07-29 12:59:47,,30.05,Jeans,Fundamental directional installation,Adidas,119.83,Men,Ma-48936175,6
50101,25514,2024-04-18 04:41:16,,37.11,Outerwear & Coats,Profound responsive matrices,Levi's,127.02,Women,Jh-00251882,6
50102,16607,2024-03-11 14:24:54,2024-05-03 14:24:54,6.02,Accessories,Object-based 6thgeneration concept,Tommy Hilfiger,13.68,Women,kl-53344110,5
50103,22018,2019-03-15 01:31:51,,24.5,Jeans,Face-to-face non-volatile challenge,MG,79.97,Men,mD-16092289,6
50104,22472,2019-01-04 19:55:12,2019-11-17 19:55:12,36.33,Plus,Right-sized upward-trending process improvement,Nike,144.92,Women,oQ-72633293,3
50105,16059,2024-05-30 22:15:30,2024-08-30 22:15:30,7.32,Tops,Advanced coherent workforce,MG,20.53,Men,ac-32852124,5
50106,17470,2021-05-02 17:13:52,,33.44,Plus,Devolved clear-thinking flexibility,Tommy Hilfiger,120.35,Men,rZ-17486006,2
50107,29639,2024-02-16 21:41:55,,23.13,Pants,Synergized multimedia middleware,Nike,88.72,Women,aV-24769029,2
50108,20378,2020-01-19 04:28:36,2020-11-29 04:28:36,8.92,Sweaters,Open-architected optimal strategy,Levi's,18.0,Women,bO-99045082,1
50109,23817,2024-06-20 19:52:39,,22.02,Jeans,Vision-oriented zero administration Internet solution,Nike,46.13,Women,Vv-92782972,2
50110,26340,2020-04-13 13:33:01,,41.91,Sweaters,Progressive content-based standardization,Nike,90.12,Women,Vl-74537401,1
50111,13759,2021-04-22 15:52:36,2022-04-06 15:52:36,38.53,Tops,Future-proofed web-enabled pricing structure,MG,80.76,Men,AY-08564320,3
50112,11534,2024-08-14 11:47:22,2025-02-05 11:47:22,41.57,Tops,Secured discrete capability,Calvin Klein,150.55,Men,dy-24838279,2
50113,10683,2022-10-13 05:05:42,2023-08-15 05:05:42,18.56,Tops,Intuitive zero administration time-frame,Tommy Hilfiger,60.61,Women,hn-45734854,8
50114,27344,2024-01-14 09:20:01,2024-11-03 09:20:01,45.39,Pants,Devolved discrete Internet solution,Calvin Klein,91.52,Men,QX-61625230,4
50115,15943,2024-02-13 05:39:03,2024-11-10 05:39:03,27.65,Sweaters,Reactive asymmetric policy,MG,82.49,Men,Xa-73349452,10
50116,24277,2020-07-05 16:18:56,2021-03-05 16:18:56,39.92,Jeans,Vision-oriented client-server focus group,Adidas,96.87,Men,PX-20526738,10
50117,15380,2022-01-23 13:31:32,2022-03-16 13:31:32,13.56,Plus,Advanced secondary knowledge user,Levi's,29.1,Men,QY-61318763,6
50118,17748,2022-12-25 21:54:11,2023-05-08 21:54:11,29.52,Pants,Seamless global frame,Levi's,110.23,Women,JJ-00220267,7
50119,11116,2023-10-09 08:17:49,,14.0,Sweaters,Reduced high-level benchmark,Puma,43.24,Women,mO-27057027,9
50120,15181,2019-02-15 04:58:11,2019-06-05 04:58:11,32.5,Jeans,Synergized discrete model,Tommy Hilfiger,82.62,Men,fh-20000390,5
50121,24879,2019-05-14 19:17:46,,33.71,Jeans,Business-focused actuating open system,Calvin Klein,87.9,Men,EG-28210388,7
50122,20170,2019-08-19 05:39:29,2020-02-04 05:39:29,4.94,Jeans,Customizable explicit benchmark,Nike,11.05,Men,Zf-78926540,8
50123,14602,2024-03-27 06:48:06,,29.73,Jeans,Object-based context-sensitive support,Nike,82.02,Women,Ed-42955538,8
50124,12104,2022-06-03 22:13:14,2023-03-27 22:13:14,5.18,Plus,Reduced background functionalities,Calvin Klein,11.7,Men,TH-42205832,5
50125,22994,2020-05-11 21:27:56,2020-07-18 21:27:56,11.37,Outerwear & Coats,Cloned tangible hub,Adidas,30.08,Men,lq-87544963,3
50126,20979,2024-01-24 10:54:18,,39.14,Sweaters,Implemented hybrid initiative,Nike,112.84,Women,jl-04729484,7
50127,25354,2024-05-18 08:20:36,2025-04-25 08:20:36,11.67,Outerwear & Coats,Seamless 3rdgeneration access,Tommy Hilfiger,34.1,Women,MC-14310160,4
50128,17007,2023-05-13 14:17:28,2024-02-24 14:17:28,20.36,Accessories,User-centric intermediate knowledgebase,Tommy Hilfiger,60.22,Women,nw-04302419,10
50129,13792,2019-03-10 14:16:55,,5.27,Pants,Triple-buffered 24/7 hub,Levi's,17.29,Women,wh-42335741,9
50130,15183,2024-09-28 15:40:57,2025-09-14 15:40:57,28.66,Accessories,Virtual bottom-line system engine,Calvin Klein,105.5,Women,Qr-34288151,6
50131,10431,2021-08-25 13:06:49,2022-07-10 13:06:49,25.52,Outerwear & Coats,Front-line non-volatile support,Tommy Hilfiger,98.98,Men,gT-90537999,1
50132,21902,2021-01-27 09:58:07,2021-10-15 09:58:07,6.83,Accessories,Managed modular collaboration,Tommy Hilfiger,14.84,Men,Bi-87684181,3
50133,25093,2023-05-06 08:59:58,,17.35,Sweaters,Enterprise-wide human-resource budgetary management,Tommy Hilfiger,48.82,Women,fD-36243419,8
50134,22867,2024-12-29 22:28:58,,34.07,Pants,Synchronized responsive customer loyalty,Nike,89.25,Women,rU-95932954,5
50135,18818,2024-07-17 07:28:55,,21.07,Sweaters,Assimilated full-range superstructure,Adidas,45.65,Men,Cb-54632182,10
50136,29743,2019-01-22 13:27:43,2019-05-07 13:27:43,32.86,Accessories,Virtual web-enabled infrastructure,Adidas,82.78,Women,tE-26861084,4
50137,27828,2021-07-06 11:36:57,2021-12-20 11:36:57,14.91,Sweaters,Automated scalable matrix,MG,32.48,Women,HA-79898962,3
50138,12405,2021-12-27 19:46:03,,48.73,Sweaters,Implemented didactic emulation,Calvin Klein,160.52,Men,WY-39898525,9
50139,13281,2022-05-03 09:44:09,2022-07-08 09:44:09,48.62,Jeans,Centralized fault-tolerant orchestration,Calvin Klein,121.07,Women,pT-62525580,1
50140,28542,2019-09-05 16:31:38,,33.03,Plus,Inverse directional portal,Nike,113.11,Women,et-53131352,5
50141,12263,2023-05-04 14:32:22,,21.91,Sweaters,Managed stable matrices,Calvin Klein,63.04,Men,OA-51743192,9
50142,16596,2019-10-10 10:13:05,,8.79,Plus,Reverse-engineered local time-frame,Puma,30.02,Men,tl-31457265,5
50143,11978,2020-12-10 00:05:22,,1.9,Accessories,Profound stable interface,Calvin Klein,7.39,Men,Ba-60194611,8
50144,17254,2022-03-25 15:18:42,2022-08-23 15:18:42,29.44,Tops,Ameliorated mobile framework,Nike,80.39,Men,cH-52548615,10
50145,10597,2021-03-02 08:59:49,,7.91,Plus,Customizable background application,Adidas,21.08,Women,Ef-80306154,1
50146,13872,2019-05-13 19:56:43,2019-09-04 19:56:43,13.37,Plus,Intuitive maximized monitoring,Puma,46.23,Men,WL-70371311,7
50147,29054,2020-11-07 20:11:54,2020-12-09 20:11:54,21.88,Pants,Devolved system-worthy knowledgebase,Adidas,83.83,Men,Bn-10036660,5
50148,10749,2019-11-29 21:18:12,2020-01-13 21:18:12,14.13,Plus,Total value-added leverage,Nike,31.64,Men,BV-98815945,6
50149,26180,2019-05-15 13:35:09,2019-11-09 13:35:09,19.37,Plus,Re-engineered scalable Graphical User Interface,Nike,42.65,Men,ES-59915242,6
50150,20394,2020-11-18 03:01:59,2021-06-05 03:01:59,41.37,Outerwear & Coats,Centralized real-time algorithm,Adidas,148.8,Women,Xo-16153644,6
50151,27132,2023-08-01 08:42:23,,36.64,Accessories,Multi-tiered composite definition,Puma,84.93,Men,cH-00300452,10
50152,28894,2023-07-10 08:59:46,2024-05-02 08:59:46,8.34,Pants,Exclusive foreground ability,Levi's,25.56,Men,fs-96888831,7
50153,26562,2022-07-21 20:26:12,2022-07-29 20:26:12,5.8,Tops,Exclusive system-worthy migration,Tommy Hilfiger,19.47,Women,QX-67684441,9
50154,21288,2024-07-23 11:08:52,2024-12-30 11:08:52,36.98,Accessories,Customizable radical utilization,Adidas,86.88,Women,IL-17062217,7
50155,13382,2020-11-05 17:10:50,,43.54,Sweaters,Virtual incremental superstructure,MG,124.71,Women,kN-03200390,8
50156,10585,2024-03-27 05:25:39,2024-06-18 05:25:39,25.33,Jeans,Managed fault-tolerant challenge,Tommy Hilfiger,57.72,Women,gh-59428398,1
50157,21453,2019-11-08 22:35:37,2020-10-06 22:35:37,31.41,Sweaters,Automated full-range parallelism,Levi's,63.11,Men,za-70124423,10
50158,17431,2023-03-12 17:09:44,,22.7,Pants,Intuitive intangible matrix,Calvin Klein,68.67,Women,pU-32291712,1
50159,18604,2020-02-14 01:37:30,2020-12-10 01:37:30,5.91,Jeans,Right-sized uniform Graphic Interface,Levi's,18.88,Men,TG-54093436,5
50160,15592,2022-11-04 07:33:52,,15.5,Sweaters,Quality-focused intangible orchestration,Puma,47.2,Women,xZ-14803066,5
50161,13432,2021-05-18 18:38:13,,25.47,Accessories,Re-engineered dedicated adapter,Adidas,51.26,Men,AZ-09038755,8
50162,28886,2024-04-15 02:40:03,,42.51,Accessories,Organized human-resource artificial intelligence,Adidas,144.37,Men,rp-34282334,10
50163,29293,2023-12-05 00:14:59,,7.56,Accessories,Team-oriented eco-centric leverage,Tommy Hilfiger,18.14,Women,Vm-14272051,2
50164,23040,2022-08-15 02:09:15,2023-01-07 02:09:15,34.04,Jeans,Multi-channeled executive utilization,Tommy Hilfiger,100.6,Men,jH-14916111,4
50165,17528,2020-07-13 12:35:28,2021-05-29 12:35:28,34.89,Outerwear & Coats,Intuitive incremental project,Adidas,102.64,Women,Aj-19623268,5
50166,13357,2021-03-16 02:25:36,,33.07,Sweaters,Ergonomic maximized matrices,Calvin Klein,78.44,Men,Ma-27690555,3
50167,25311,2024-03-19 06:45:42,,50.0,Tops,Horizontal stable model,Levi's,184.17,Men,rn-31034469,2
50168,24202,2019-05-06 20:27:32,2019-12-20 20:27:32,14.72,Tops,Organized executive policy,Tommy Hilfiger,40.48,Men,jD-82097681,9
50169,21256,2022-01-28 03:09:32,,11.09,Tops,Programmable tertiary process improvement,MG,30.56,Women,fM-01226995,7
50170,12230,2019-04-22 14:43:52,,35.59,Accessories,Operative composite portal,Puma,128.49,Men,cB-44205203,10
50171,22174,2023-06-01 02:17:33,,7.77,Accessories,Pre-emptive bi-directional utilization,Puma,17.37,Men,bP-28753348,5
50172,26078,2024-08-05 09:23:32,2025-01-14 09:23:32,20.93,Plus,Realigned zero administration adapter,Adidas,72.51,Women,qT-13604947,3
50173,20638,2023-09-15 20:14:28,2023-11-17 20:14:28,42.75,Accessories,Visionary clear-thinking capability,Nike,141.76,Women,JY-42548271,2
50174,18779,2022-07-11 07:38:05,2022-08-15 07:38:05,14.22,Accessories,Assimilated explicit functionalities,MG,30.99,Women,wJ-76922962,1
50175,12676,2023-03-14 04:35:10,,40.8,Tops,Innovative well-modulated leverage,Adidas,138.74,Women,SL-07217699,6
50176,25567,2021-03-07 16:24:58,2021-04-26 16:24:58,49.71,Sweaters,Centralized heuristic definition,Levi's,126.67,Women,dz-04431974,4
50177,26405,2020-06-25 08:48:27,2020-07-30 08:48:27,9.47,Jeans,Stand-alone regional hierarchy,Levi's,32.07,Women,dD-90700974,5
50178,25657,2024-04-11 01:44:33,,25.94,Accessories,Front-line non-volatile matrix,Tommy Hilfiger,77.72,Women,Qn-35109093,8
50179,26954,2024-12-05 16:37:43,,18.79,Jeans,Programmable intangible solution,Tommy Hilfiger,44.84,Men,Sy-83985914,3
50180,20815,2022-09-18 01:16:32,2023-08-31 01:16:32,16.17,Tops,Object-based homogeneous success,MG,62.98,Men,Lh-63918900,10
50181,13541,2022-01-02 01:59:11,,41.37,Pants,Adaptive mission-critical emulation,Adidas,115.71,Men,NF-21895141,10
50182,14312,2023-02-24 14:20:26,,1.07,Sweaters,Grass-roots multi-tasking infrastructure,Tommy Hilfiger,2.51,Men,XY-07177545,3
50183,14310,2019-02-10 01:09:37,,38.92,Pants,Sharable upward-trending hierarchy,MG,133.9,Men,SK-68680477,1
50184,26671,2019-04-27 20:27:41,,47.16,Plus,Universal analyzing array,Nike,172.4,Men,eL-38859787,5
50185,21482,2024-04-25 05:41:37,2024-12-07 05:41:37,47.35,Sweaters,Cross-group dynamic process improvement,MG,146.68,Women,yy-21170594,4
50186,26829,2022-07-16 00:44:20,,16.79,Pants,Customer-focused empowering secured line,Levi's,53.57,Women,zM-79793892,3
50187,28255,2020-08-07 07:05:44,2020-08-08 07:05:44,46.73,Plus,Cross-group directional secured line,Puma,141.83,Men,wV-35295400,3
50188,22403,2020-09-28 08:29:08,2021-02-17 08:29:08,31.28,Jeans,Focused 4thgeneration function,MG,105.39,Men,hJ-21431665,8
50189,29643,2024-05-02 06:12:37,2024-09-26 06:12:37,23.33,Accessories,Reverse-engineered zero administration process improvement,Adidas,57.6,Men,If-40364029,10
50190,15463,2021-08-07 03:11:19,2022-06-30 03:11:19,1.88,Sweaters,Pre-emptive next generation productivity,Puma,3.84,Women,oQ-33262100,4
50191,26959,2024-02-24 03:40:07,2025-02-08 03:40:07,1.8,Pants,Mandatory multimedia pricing structure,Tommy Hilfiger,4.22,Men,uQ-47291551,9
50192,10280,2020-01-15 15:06:48,2020-09-18 15:06:48,36.81,Outerwear & Coats,Reverse-engineered multi-tasking task-force,Nike,119.7,Men,jT-36230817,6
50193,20273,2021-05-22 07:14:48,2022-03-31 07:14:48,8.22,Plus,Polarized intermediate array,Nike,18.43,Women,zI-24204415,7
50194,10684,2023-02-15 07:17:53,2023-07-29 07:17:53,41.16,Sweaters,Upgradable solution-oriented approach,Nike,146.0,Women,KS-72799994,3
