id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
10030,12.78,Pants,Cross-group cohesive projection,Calvin Klein,55.42,Women,Ct-40105361,4
10031,74.81,Pants,Open-source zero administration interface,Nike,272.46,Men,Jy-84358355,7
10032,57.62,Plus,Cross-group logistical project,Nike,212.64,Men,EE-10215042,10
10033,64.71,Jeans,Bootcut Jeans,Calvin Klein,228.24,Women,QM-47238071,4
10034,15.74,Accessories,Enzyme Regular Scarf,Puma,51.71,Men,eu-68926052,9
10035,91.15,Pants,Vision-oriented intermediate website,MG,227.14,Women,Oe-74885050,9
10036,9.99,Sweaters,Centralized secondary task-force,Gap,43.99,Men,SY-78447693,2
10037,42.51,Plus,Multi-channeled leadingedge capacity,MG,90.5,Women,We-28272694,5
10038,33.59,Plus,Total uniform knowledgebase,Puma,107.21,Men,li-43869142,6
10039,10.05,Outerwear & Coats,Mandatory composite support,MG,42.18,Women,lN-39679927,7
10040,16.4,Sweaters,Decentralized 24hour benchmark,Levi's,67.44,Men,Zs-38671611,5
10041,59.3,Pants,Cross-platform bifurcated open system,Levi's,218.88,Men,dU-12094128,10
10042,94.33,Sweaters,Re-contextualized executive projection,Levi's,308.8,Men,jU-97157218,2
10043,99.7,Pants,Realigned regional Graphic Interface,Gap,368.79,Men,kB-55782180,7
10044,75.12,Jeans,High Rise Jeans,Puma,331.35,Women,hF-47629778,2
10045,66.42,Pants,Polarized client-driven architecture,MG,127.55,Men,fB-15671678,3
10046,19.56,Plus,Object-based next generation archive,Puma,67.2,Women,qw-72792027,7
10047,43.01,Jeans,Skinny Jeans,Tommy Hilfiger,184.57,Women,Dp-70932640,10
10048,58.24,Outerwear & Coats,Fully-configurable 24hour interface,Gap,108.77,Men,nF-15297800,6
10049,7.68,Plus,Inverse human-resource forecast,Nike,27.97,Men,ka-93515766,9
10050,24.82,Sweaters,Monitored neutral toolset,Nike,48.5,Men,zu-50179748,6
10051,73.13,Jeans,Bootcut Jeans,Gap,246.27,Men,gy-87721746,10
10052,53.67,Plus,Customizable high-level encoding,Nike,211.08,Men,AG-78406804,10
10053,52.12,Outerwear & Coats,Vision-oriented client-driven moratorium,MG,162.03,Women,xM-73239040,5
10054,44.21,Sweaters,Triple-buffered heuristic ability,MG,95.55,Women,cC-30682722,1
10055,74.3,Plus,Monitored needs-based service-desk,H&M,183.03,Men,Xz-42144992,1
10056,85.24,Accessories,Washed Canvas Ivy Hat,Gap,189.71,Men,Nn-73879060,3
10057,25.64,Accessories,Enzyme Regular Scarf,Levi's,100.58,Men,yO-53095658,6
10058,27.37,Accessories,Low Profile Dyed Cap,Puma,91.49,Women,hE-52630106,4
10059,58.2,Outerwear & Coats,Focused disintermediate capability,Tommy Hilfiger,234.57,Men,rS-06788648,3
10060,10.34,Pants,Monitored incremental instruction set,Tommy Hilfiger,25.21,Women,My-38749656,9
10061,79.01,Jeans,High Rise Jeans,Puma,187.55,Women,Rb-93477664,1
10062,40.15,Tops,Polo Shirt,MG,154.93,Women,jn-16542001,2
10063,21.99,Pants,Reverse-engineered multimedia alliance,Puma,72.31,Men,Vp-29193332,6
10064,33.71,Outerwear & Coats,Business-focused maximized budgetary management,H&M,85.49,Women,Hp-24345249,1
10065,95.07,Plus,Face-to-face intangible capacity,Puma,333.28,Men,DL-09112375,2
10066,89.43,Sweaters,Total zero tolerance methodology,H&M,242.72,Men,Dy-29369206,2
10067,19.64,Tops,Long Sleeve Shirt,Puma,85.62,Women,KV-18969867,4
10068,50.26,Jeans,High Rise Jeans,Adidas,146.77,Women,jf-18367864,5
10069,3.36,Pants,Networked incremental Graphic Interface,Adidas,9.78,Women,ia-69484636,8
10070,64.29,Pants,Robust responsive infrastructure,Calvin Klein,119.0,Women,Fu-32702231,2
10071,78.48,Pants,Assimilated 5thgeneration standardization,Nike,208.4,Men,cV-25777813,7
10072,73.34,Tops,Long Sleeve Shirt,Puma,298.03,Men,dF-69173439,8
10073,19.29,Pants,User-friendly heuristic attitude,Calvin Klein,47.53,Men,Ae-49524272,10
10074,9.01,Sweaters,Re-contextualized clear-thinking success,Nike,37.3,Women,Ff-70844078,2
10075,46.82,Sweaters,Centralized grid-enabled benchmark,Gap,114.4,Women,Al-50654770,3
10076,46.52,Sweaters,Face-to-face radical solution,H&M,91.45,Women,ln-74185340,8
10077,71.38,Sweaters,Implemented encompassing contingency,Levi's,228.31,Women,kT-27965685,10
10078,63.34,Sweaters,Re-engineered 4thgeneration Internet solution,Nike,209.95,Women,zl-07144999,9
10079,26.77,Accessories,Washed Canvas Ivy Hat,Puma,110.58,Men,AW-26954047,4
10080,87.81,Tops,Polo Shirt,Gap,369.31,Women,gc-18888826,7
10081,46.4,Accessories,Enzyme Regular Scarf,Gap,162.51,Men,wU-33916804,5
10082,30.37,Tops,Cotton T-Shirt,Calvin Klein,132.11,Men,HP-12865258,4
10083,63.7,Tops,Cotton T-Shirt,Calvin Klein,124.25,Men,vR-82379144,2
10084,35.16,Jeans,Bootcut Jeans,H&M,147.18,Men,to-52829559,3
10085,56.51,Accessories,Washed Canvas Ivy Hat,Levi's,251.08,Men,TF-38405860,5
10086,59.27,Accessories,Low Profile Dyed Cap,Adidas,109.24,Men,wi-82661030,7
10087,62.77,Accessories,Enzyme Regular Scarf,Tommy Hilfiger,181.55,Men,qx-55994530,2
10088,24.21,Pants,Business-focused systemic superstructure,Nike,64.01,Women,Fa-83288561,4
10089,70.7,Jeans,High Rise Jeans,Levi's,227.62,Men,Zf-42151305,2
10090,32.83,Plus,Organic next generation database,MG,87.41,Men,yb-91369892,2
10091,12.2,Accessories,Low Profile Dyed Cap,MG,25.9,Women,cr-06662042,6
10092,65.93,Outerwear & Coats,Compatible client-server approach,Levi's,265.8,Men,Fh-90559646,4
10093,25.32,Plus,Enhanced discrete customer loyalty,Nike,101.99,Men,gf-40899636,1
10094,17.28,Sweaters,Upgradable attitude-oriented firmware,Nike,45.09,Men,Zc-83662845,3
10095,33.22,Pants,Automated dedicated pricing structure,Levi's,142.77,Men,IU-48996008,1
10096,41.87,Outerwear & Coats,Total stable help-desk,Calvin Klein,88.59,Men,bo-33194305,1
10097,36.13,Accessories,Enzyme Regular Scarf,Calvin Klein,69.52,Women,BL-92081642,3
10098,89.0,Accessories,Enzyme Regular Scarf,H&M,185.4,Women,Pk-35853427,4
10099,67.43,Accessories,4 Panel Large Bill Cap,Nike,226.13,Men,wj-94440353,2
10100,88.63,Outerwear & Coats,Secured regional info-mediaries,Puma,257.75,Men,Fb-55696195,7
10101,24.98,Outerwear & Coats,Customer-focused context-sensitive interface,H&M,89.41,Men,Nm-77050700,5
10102,19.99,Outerwear & Coats,Team-oriented optimal installation,Puma,71.12,Women,BR-19191745,9
10103,3.4,Pants,Profit-focused well-modulated installation,Levi's,7.43,Women,yZ-53276485,9
10104,31.43,Tops,V-Neck Top,Tommy Hilfiger,126.14,Men,bF-03500486,2
10105,17.73,Accessories,Washed Canvas Ivy Hat,Nike,58.94,Women,bE-22151333,5
10106,34.23,Jeans,Regular Fit Jeans,Nike,116.59,Women,ly-05653542,10
10107,62.53,Pants,Mandatory zero-defect help-desk,Puma,117.62,Women,vx-21682275,7
10108,97.11,Sweaters,Organic motivating secured line,Calvin Klein,404.25,Men,wF-07971266,1
10109,88.19,Jeans,Skinny Jeans,Puma,231.08,Women,mn-56124758,4
10110,3.41,Plus,Inverse zero tolerance Graphical User Interface,Calvin Klein,11.48,Women,kV-89827951,10
10111,60.34,Jeans,Regular Fit Jeans,Tommy Hilfiger,192.77,Men,ev-51550471,1
10112,54.16,Tops,V-Neck Top,Adidas,185.72,Men,kD-44789660,7
10113,44.55,Outerwear & Coats,Open-architected methodical complexity,Nike,104.05,Women,rR-37645726,8
10114,84.86,Outerwear & Coats,Reactive 24/7 knowledgebase,MG,192.64,Women,hD-71968713,3
10115,45.79,Tops,Cotton T-Shirt,Puma,117.68,Men,Ws-42339520,2
10116,38.04,Pants,User-friendly value-added knowledge user,Adidas,120.9,Women,Eo-25008001,4
10117,26.43,Plus,Multi-layered multimedia Graphical User Interface,Tommy Hilfiger,67.55,Women,Vw-08798009,8
10118,80.54,Pants,Managed tangible orchestration,H&M,362.22,Men,GU-17123073,9
10119,90.98,Sweaters,Realigned directional pricing structure,Levi's,381.91,Women,ER-29332079,5
10120,70.28,Pants,Realigned hybrid strategy,Puma,284.78,Women,Qs-53636213,9
10121,33.87,Plus,Devolved fault-tolerant parallelism,Adidas,111.94,Men,hi-08647438,10
10122,37.98,Accessories,Washed Canvas Ivy Hat,MG,106.92,Men,xL-11990962,4
10123,62.63,Plus,Optional discrete paradigm,Gap,235.28,Men,EH-02775444,5
10124,76.54,Pants,Managed didactic conglomeration,Puma,251.95,Men,TT-91981774,10
10125,14.02,Accessories,Washed Canvas Ivy Hat,Adidas,56.39,Men,Bx-85915232,5
10126,82.35,Outerwear & Coats,Re-contextualized mobile help-desk,Adidas,186.99,Men,Nl-57711016,4
10127,60.46,Outerwear & Coats,Programmable stable complexity,Calvin Klein,160.84,Women,Hj-58858409,5
10128,67.79,Jeans,Skinny Jeans,Calvin Klein,277.16,Women,Pz-35654679,1
10129,67.4,Pants,Organic impactful firmware,Adidas,156.0,Men,Rk-87162339,3
10130,78.42,Jeans,High Rise Jeans,Gap,253.35,Men,Le-73895384,10
10131,5.68,Pants,Monitored needs-based secured line,Tommy Hilfiger,20.09,Men,Hr-62863049,1
10132,15.99,Accessories,Enzyme Regular Scarf,Calvin Klein,40.9,Women,JW-97128675,10
10133,62.2,Tops,V-Neck Top,H&M,135.63,Women,fh-29812805,3
10134,29.01,Outerwear & Coats,User-friendly context-sensitive service-desk,Tommy Hilfiger,125.18,Men,GU-37329334,3
10135,26.69,Outerwear & Coats,Multi-lateral zero-defect time-frame,Nike,82.25,Women,Yd-96414789,7
10136,60.61,Plus,Down-sized global knowledgebase,Tommy Hilfiger,115.36,Women,ZF-58052554,1
10137,13.8,Sweaters,Reduced bifurcated Internet solution,Adidas,56.55,Men,qw-93554739,2
10138,85.85,Jeans,Skinny Jeans,Nike,177.95,Women,cC-17373610,5
10139,92.19,Jeans,Skinny Jeans,Puma,218.29,Women,ek-47990308,6
10140,73.76,Outerwear & Coats,Centralized didactic moderator,H&M,298.43,Men,aJ-35406974,1
10141,32.52,Pants,User-friendly disintermediate capability,Puma,124.26,Women,RI-63487156,2
10142,42.48,Plus,Vision-oriented intermediate structure,Levi's,146.99,Women,ti-10915691,2
10143,65.06,Plus,Cross-platform disintermediate support,MG,200.16,Women,WB-30466596,1
10144,8.49,Sweaters,Persistent fault-tolerant matrices,Levi's,28.86,Men,eq-61914180,1
10145,19.58,Sweaters,Organized regional core,Levi's,45.99,Women,Bp-87069531,7
10146,90.86,Sweaters,Up-sized upward-trending policy,Levi's,369.72,Men,uu-08574350,5
10147,46.73,Jeans,High Rise Jeans,Gap,106.59,Women,Gj-29088101,6
10148,30.88,Accessories,Washed Canvas Ivy Hat,Adidas,80.44,Women,zY-25290760,1
10149,53.33,Accessories,Low Profile Dyed Cap,Adidas,211.53,Women,Ib-06348821,9
10150,79.0,Pants,Realigned directional attitude,Levi's,252.24,Women,eu-58333354,6
10151,42.92,Outerwear & Coats,Stand-alone exuding solution,Nike,184.89,Women,BD-10469758,8
10152,4.28,Pants,Public-key 24hour approach,MG,9.14,Men,uf-73536782,8
10153,53.92,Sweaters,Universal empowering hierarchy,Puma,146.94,Men,Qp-77938725,5
10154,48.34,Tops,Cotton T-Shirt,Gap,119.81,Women,Ys-70498971,8
10155,86.94,Outerwear & Coats,Seamless bi-directional adapter,Puma,265.55,Women,RC-90414773,1
10156,41.23,Accessories,Low Profile Dyed Cap,Gap,90.98,Men,fe-55096704,3
10157,42.29,Pants,Sharable fresh-thinking challenge,Calvin Klein,101.01,Women,lQ-55978459,4
10158,39.04,Plus,Triple-buffered non-volatile forecast,MG,139.69,Women,ez-62457190,5
10159,11.92,Sweaters,Cloned high-level monitoring,Tommy Hilfiger,39.64,Women,kD-86470662,6
10160,69.84,Pants,Triple-buffered actuating contingency,MG,252.4,Women,fa-02595622,8
10161,56.88,Accessories,4 Panel Large Bill Cap,Puma,158.96,Women,iQ-19641320,5
10162,15.24,Jeans,High Rise Jeans,Adidas,64.14,Women,Vu-15334428,1
10163,80.53,Tops,Cotton T-Shirt,Adidas,165.5,Women,vX-67505850,10
10164,99.19,Pants,Right-sized fresh-thinking groupware,H&M,325.56,Women,oB-57016220,8
10165,2.43,Accessories,Enzyme Regular Scarf,Levi's,5.79,Men,Yv-56019070,9
10166,10.02,Pants,Persevering holistic function,Levi's,41.9,Women,Fp-32130622,10
10167,65.73,Tops,Polo Shirt,Gap,153.58,Women,pe-78184782,4
10168,25.04,Sweaters,Organic scalable strategy,Puma,93.88,Men,Fk-58930237,10
10169,55.39,Sweaters,Digitized regional neural-net,H&M,179.61,Men,ey-15916981,5
10170,22.64,Plus,Devolved 6thgeneration help-desk,Gap,74.99,Men,zg-05269445,10
10171,88.28,Tops,Cotton T-Shirt,Adidas,252.38,Women,Sd-65307598,9
10172,17.02,Sweaters,Business-focused 5thgeneration time-frame,Nike,61.92,Men,dc-50293546,3
10173,29.67,Tops,Polo Shirt,Adidas,77.14,Women,YD-90317693,5
10174,49.73,Plus,Multi-channeled coherent implementation,Nike,116.69,Women,Tj-97814823,3
10175,35.33,Jeans,Regular Fit Jeans,Tommy Hilfiger,100.13,Men,Ai-77039556,10
10176,89.82,Accessories,Washed Canvas Ivy Hat,Calvin Klein,305.9,Men,LC-12503949,3
10177,68.21,Accessories,Washed Canvas Ivy Hat,H&M,245.5,Men,Xo-41803138,9
10178,17.42,Jeans,Regular Fit Jeans,Puma,31.79,Women,tB-03978652,5
10179,90.48,Accessories,Washed Canvas Ivy Hat,Adidas,364.51,Women,Ta-10458791,4
10180,3.27,Tops,Long Sleeve Shirt,MG,10.06,Men,vs-10572559,1
10181,8.6,Outerwear & Coats,Visionary non-volatile utilization,Calvin Klein,24.46,Women,ZN-72776331,7
10182,18.31,Pants,Persistent next generation capacity,Levi's,49.5,Men,IK-96274383,5
10183,12.58,Accessories,4 Panel Large Bill Cap,Nike,38.51,Women,AU-71355523,1
10184,65.09,Tops,Cotton T-Shirt,Gap,166.05,Women,eV-29620872,6
10185,47.13,Sweaters,Adaptive bi-directional model,Adidas,184.6,Women,kl-46396667,5
10186,42.68,Tops,Long Sleeve Shirt,Puma,143.94,Men,Rr-93745506,1
10187,58.4,Outerwear & Coats,Public-key discrete open system,Adidas,219.69,Women,Fk-09894500,9
10188,5.99,Plus,Reactive transitional budgetary management,Puma,23.51,Men,dd-14227914,6
10189,59.4,Accessories,Washed Canvas Ivy Hat,Puma,185.33,Women,wD-79992964,4
10190,70.89,Sweaters,Stand-alone secondary extranet,Levi's,166.39,Women,TI-96561788,1
10191,1.94,Plus,Fully-configurable clear-thinking hub,Levi's,4.05,Men,Ve-94013169,9
10192,44.65,Pants,Public-key modular orchestration,Gap,107.84,Women,Ca-63942938,10
10193,68.3,Jeans,Skinny Jeans,Nike,166.97,Men,fq-93280291,1
10194,17.08,Outerwear & Coats,Devolved incremental synergy,Levi's,69.26,Women,CL-31109353,3
10195,53.05,Accessories,Enzyme Regular Scarf,Tommy Hilfiger,130.87,Men,bu-99987046,7
10196,78.71,Tops,Polo Shirt,MG,260.3,Men,SD-82066735,7
10197,38.78,Plus,Robust value-added utilization,Puma,128.21,Women,Wz-58178568,2
10198,70.97,Plus,Customizable actuating throughput,Levi's,246.95,Men,Ga-97141211,1
10199,11.81,Plus,Business-focused stable software,Levi's,25.99,Men,lf-29418426,1
10200,70.59,Plus,Customer-focused optimal Graphic Interface,Puma,202.33,Men,kW-40627819,7
10201,47.7,Jeans,Bootcut Jeans,Nike,209.78,Women,KG-65060873,6
10202,66.65,Accessories,4 Panel Large Bill Cap,Puma,175.21,Women,Ms-33849936,10
10203,40.6,Tops,Long Sleeve Shirt,H&M,87.37,Women,Zi-36504224,10
10204,83.14,Outerwear & Coats,User-friendly clear-thinking model,H&M,243.83,Women,Dv-46615742,8
10205,8.93,Tops,Long Sleeve Shirt,MG,17.67,Men,Rl-26468840,3
10206,89.22,Pants,Streamlined explicit success,Puma,346.57,Women,dp-69788988,3
10207,34.88,Plus,Enhanced client-driven superstructure,H&M,128.63,Women,Dk-12643663,1
10208,49.31,Outerwear & Coats,Optional multimedia adapter,Adidas,161.67,Men,wj-17925285,1
10209,65.13,Sweaters,Object-based bottom-line migration,Adidas,136.36,Men,Rr-56500060,4
10210,47.31,Plus,Managed multi-state challenge,H&M,131.33,Women,sZ-32311112,7
10211,22.58,Accessories,Low Profile Dyed Cap,Levi's,82.61,Men,ex-11655500,4
10212,51.6,Sweaters,Streamlined analyzing utilization,Calvin Klein,131.63,Men,lS-63487982,1
10213,34.14,Sweaters,Focused 24hour definition,Levi's,91.46,Men,zr-33068820,2
10214,25.58,Accessories,Low Profile Dyed Cap,Nike,82.37,Women,Js-22924114,4
10215,23.8,Accessories,Low Profile Dyed Cap,Calvin Klein,43.08,Women,TZ-25816833,8
10216,63.41,Accessories,4 Panel Large Bill Cap,Adidas,230.27,Men,cj-61550020,5
10217,11.8,Outerwear & Coats,Focused holistic matrix,Tommy Hilfiger,35.51,Men,qI-39880009,1
10218,70.98,Jeans,Regular Fit Jeans,Tommy Hilfiger,173.42,Men,Zv-54164842,9
10219,3.05,Jeans,Regular Fit Jeans,H&M,8.42,Women,eu-12249393,1
10220,41.65,Accessories,4 Panel Large Bill Cap,Levi's,130.21,Women,eT-15201196,9
10221,23.62,Outerwear & Coats,Diverse zero administration moratorium,Levi's,47.36,Women,vS-88671681,6
10222,12.91,Accessories,4 Panel Large Bill Cap,Tommy Hilfiger,45.12,Women,Ft-94135545,1
10223,38.71,Pants,Enterprise-wide value-added data-warehouse,H&M,164.73,Women,hx-70866639,8
10224,16.23,Plus,Programmable mission-critical pricing structure,Gap,53.96,Women,TJ-17725111,7
10225,15.24,Sweaters,Sharable exuding Graphic Interface,Tommy Hilfiger,57.48,Men,me-27285077,2
10226,22.94,Jeans,Regular Fit Jeans,Levi's,97.55,Women,PF-57623698,10
10227,67.56,Jeans,Regular Fit Jeans,Tommy Hilfiger,300.82,Men,rE-86826591,10
10228,35.03,Outerwear & Coats,Reactive bi-directional service-desk,Adidas,96.47,Women,wA-04627594,8
10229,86.92,Accessories,Low Profile Dyed Cap,H&M,275.09,Men,CZ-25292931,10
10230,73.47,Outerwear & Coats,Intuitive 4thgeneration paradigm,Tommy Hilfiger,241.91,Women,sG-31306022,3
10231,46.16,Plus,Persevering client-driven focus group,Tommy Hilfiger,89.62,Women,Ir-76519245,8
10232,50.67,Jeans,High Rise Jeans,Levi's,106.74,Men,eA-42606349,3
10233,55.67,Outerwear & Coats,Triple-buffered clear-thinking data-warehouse,Levi's,247.2,Men,Nh-49058833,5
10234,90.65,Tops,Cotton T-Shirt,Levi's,219.4,Women,Qo-05465813,4
10235,87.92,Tops,Polo Shirt,Tommy Hilfiger,287.58,Women,Xj-87127860,3
10236,10.19,Tops,Long Sleeve Shirt,Puma,29.9,Women,KV-83774652,1
10237,39.53,Jeans,Skinny Jeans,MG,121.03,Women,oO-71485374,6
10238,67.39,Tops,V-Neck Top,H&M,203.62,Men,ss-19462237,1
10239,13.71,Accessories,Washed Canvas Ivy Hat,Puma,30.86,Women,sD-76067803,10
10240,96.57,Plus,Ergonomic 3rdgeneration encryption,Nike,241.51,Women,bz-39765244,10
10241,50.29,Pants,Switchable interactive challenge,MG,168.14,Women,la-50391905,10
10242,49.97,Sweaters,Enhanced exuding software,Calvin Klein,129.59,Women,bv-78965184,6
10243,79.68,Tops,Long Sleeve Shirt,Tommy Hilfiger,206.23,Women,gl-18974509,1
10244,91.64,Plus,Face-to-face multimedia emulation,Levi's,381.73,Women,Nx-14275508,2
10245,52.41,Outerwear & Coats,Inverse full-range encryption,Levi's,125.77,Men,qC-34495786,7
10246,71.45,Pants,Virtual homogeneous benchmark,MG,167.56,Women,nX-08556413,5
10247,84.27,Tops,Polo Shirt,Calvin Klein,328.73,Women,vx-48057791,4
10248,2.34,Accessories,Enzyme Regular Scarf,Calvin Klein,6.22,Men,vm-31718876,9
10249,24.88,Sweaters,Front-line fresh-thinking utilization,Levi's,109.6,Men,yF-34586841,8
10250,17.84,Tops,Cotton T-Shirt,Adidas,67.03,Women,JI-14540206,5
10251,72.13,Outerwear & Coats,Face-to-face reciprocal firmware,H&M,251.22,Women,pP-08102051,1
10252,23.12,Accessories,Washed Canvas Ivy Hat,Tommy Hilfiger,44.91,Women,dF-12567514,10
10253,38.9,Sweaters,User-centric bandwidth-monitored task-force,Gap,160.1,Men,VM-86774082,5
10254,51.64,Tops,Polo Shirt,Puma,108.64,Men,Ru-59320631,1
10255,38.71,Pants,Business-focused coherent hardware,Nike,82.83,Women,yW-82470067,8
10256,18.96,Pants,Synergized real-time artificial intelligence,Calvin Klein,75.03,Men,Im-61264302,6
10257,34.12,Outerwear & Coats,Persevering bandwidth-monitored hierarchy,H&M,139.84,Men,Ey-62995918,10
10258,5.21,Plus,Customer-focused user-facing strategy,Nike,21.6,Men,eg-04694174,2
10259,29.66,Plus,Implemented solution-oriented hierarchy,Tommy Hilfiger,84.14,Women,hT-40736245,8
10260,80.53,Outerwear & Coats,Customizable cohesive database,Gap,316.06,Women,Md-09785852,3
10261,83.87,Outerwear & Coats,Synergistic attitude-oriented info-mediaries,H&M,364.85,Men,oH-80723554,10
10262,94.19,Sweaters,Enhanced upward-trending knowledgebase,H&M,240.59,Women,Gh-13667784,7
10263,51.39,Jeans,Bootcut Jeans,Puma,115.96,Women,JS-62566680,7
10264,76.52,Sweaters,Public-key regional open system,MG,313.89,Men,rW-56047864,10
10265,30.83,Jeans,High Rise Jeans,H&M,84.03,Men,vg-18417825,5
10266,41.69,Outerwear & Coats,Synergistic human-resource open system,MG,102.88,Men,qe-15266530,4
10267,10.63,Outerwear & Coats,Optional needs-based methodology,Tommy Hilfiger,33.26,Women,hq-15284433,5
10268,33.08,Sweaters,Cross-platform static Graphic Interface,Adidas,62.46,Men,GL-50519263,7
10269,50.64,Plus,Multi-channeled upward-trending matrices,Levi's,98.64,Women,NN-20327545,3
10270,83.09,Sweaters,Future-proofed real-time pricing structure,Puma,262.73,Women,zB-67936682,10
10271,43.33,Accessories,Low Profile Dyed Cap,Nike,134.48,Women,da-35321992,6
10272,91.16,Pants,Integrated zero administration success,H&M,343.34,Women,HL-01163709,6
10273,29.24,Jeans,High Rise Jeans,Tommy Hilfiger,116.97,Women,jW-05243061,7
10274,94.35,Accessories,Washed Canvas Ivy Hat,Gap,284.84,Men,sO-96563290,10
10275,61.24,Accessories,Low Profile Dyed Cap,Puma,225.38,Women,Kv-90726881,7
10276,92.4,Tops,Long Sleeve Shirt,Nike,186.76,Men,IG-91117199,6
10277,74.46,Accessories,Low Profile Dyed Cap,Puma,314.4,Men,tR-69417247,2
10278,69.56,Pants,Proactive systematic analyzer,Adidas,249.12,Women,NX-02399401,5
10279,2.18,Jeans,Regular Fit Jeans,MG,6.67,Men,Jm-20086980,4
10280,20.23,Sweaters,Phased client-driven Local Area Network,MG,78.1,Women,fx-06993934,6
10281,35.93,Accessories,4 Panel Large Bill Cap,MG,86.75,Women,hf-92060921,7
10282,12.05,Plus,Persistent composite standardization,Calvin Klein,40.44,Women,Bw-55827370,7
10283,30.04,Jeans,Skinny Jeans,Gap,58.82,Men,Cw-75782681,2
10284,74.15,Plus,Cloned modular open architecture,Adidas,315.82,Men,qf-43832954,8
10285,92.51,Tops,Polo Shirt,MG,363.86,Men,Nk-00325932,8
10286,99.59,Pants,Exclusive high-level product,MG,361.38,Men,ZS-60179432,1
10287,37.01,Plus,Ergonomic maximized approach,Gap,142.58,Men,nf-22269986,10
10288,37.67,Jeans,Bootcut Jeans,Gap,154.0,Women,JD-17602118,8
10289,91.32,Plus,Reactive responsive Graphical User Interface,Gap,299.18,Men,EW-97648090,6
10290,92.2,Jeans,Bootcut Jeans,H&M,292.98,Men,Gl-78505845,4
10291,21.24,Sweaters,Pre-emptive human-resource Graphical User Interface,Adidas,44.57,Women,SY-65067842,4
10292,30.55,Tops,Cotton T-Shirt,Adidas,76.39,Women,Nk-83519153,8
10293,93.08,Outerwear & Coats,Open-architected eco-centric data-warehouse,Tommy Hilfiger,275.82,Women,Gx-32255315,6
10294,10.57,Jeans,Skinny Jeans,H&M,21.08,Men,jS-17523759,6
10295,33.09,Accessories,Low Profile Dyed Cap,MG,62.27,Men,BO-42184968,10
10296,69.99,Outerwear & Coats,Operative fresh-thinking circuit,MG,255.08,Men,vP-28289268,4
10297,6.85,Sweaters,Grass-roots maximized focus group,Calvin Klein,15.71,Women,HK-84661943,1
10298,18.09,Tops,Cotton T-Shirt,Calvin Klein,66.76,Women,TQ-22937156,3
10299,22.99,Sweaters,Vision-oriented dedicated algorithm,Calvin Klein,42.71,Women,Fa-88245863,5
